epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.44985,2.24501,3.08416,1.92539,0.0203,1,0.13449,0.04711,1.56771,2.93439,1.31218,0.000592593,0.000592593,0.000592593
2,5.05838,1.50792,1.94582,1.30423,0.30566,0.3,0.31789,0.11787,1.25054,2.59884,1.24838,0.00124368,0.00124368,0.00124368
3,7.94859,1.28096,1.36529,1.21979,0.77972,0.53182,0.81607,0.26882,1.42141,2.2852,1.48399,0.00187826,0.00187826,0.00187826
4,11.1087,1.29874,1.19793,1.25305,0.0415,1,0.84512,0.37888,1.49536,2.09928,1.45498,0.00192575,0.00192575,0.00192575
5,14.3796,1.43329,1.18701,1.28244,0.63343,0.9,0.7906,0.27424,2.18413,1.80657,2.30974,0.001901,0.001901,0.001901
6,16.9234,1.50334,1.11096,1.29099,0.84478,0.81692,0.93047,0.51408,1.79725,1.19437,1.79618,0.00187625,0.00187625,0.00187625
7,19.9157,1.31555,1.04982,1.2362,0.9395,1,0.99262,0.60343,1.37351,1.21983,1.26467,0.0018515,0.0018515,0.0018515
8,23.974,1.27825,0.98494,1.20131,0.94772,0.90668,0.98598,0.73488,1.07701,1.27144,1.11574,0.00182675,0.00182675,0.00182675
9,27.2209,1.1356,0.94671,1.13599,0.8822,1,0.94741,0.71803,1.01153,0.93574,1.10983,0.001802,0.001802,0.001802
10,30.0727,1.06155,0.91605,1.11358,0.99356,1,0.995,0.74115,0.88317,0.87152,1.07393,0.00177725,0.00177725,0.00177725
11,33.1475,0.97496,0.86835,1.06738,0.99691,1,0.995,0.75214,1.02266,0.85768,1.17684,0.0017525,0.0017525,0.0017525
12,36.2751,1.02887,0.82785,1.08801,0.99724,1,0.995,0.79661,0.98529,0.77561,1.10522,0.00172775,0.00172775,0.00172775
13,39.227,1.00316,0.80076,1.09492,0.99615,1,0.995,0.70186,0.99497,0.68479,1.05108,0.001703,0.001703,0.001703
14,42.0837,1.04744,0.79085,1.10495,0.99712,1,0.995,0.63899,1.20604,0.71159,1.11654,0.00167825,0.00167825,0.00167825
15,44.6272,0.94112,0.79069,1.03688,0.99738,1,0.995,0.76575,0.84979,0.61906,0.98898,0.0016535,0.0016535,0.0016535
16,47.0956,0.91238,0.74887,1.02974,0.99755,1,0.995,0.75557,0.9404,0.64016,1.02074,0.00162875,0.00162875,0.00162875
17,49.3946,0.9295,0.77123,1.0356,0.99751,1,0.995,0.78457,0.82961,0.59861,1.00464,0.001604,0.001604,0.001604
18,51.9027,0.89171,0.73524,1.00577,0.99742,1,0.995,0.81121,0.74977,0.60799,0.99342,0.00157925,0.00157925,0.00157925
19,54.7591,0.96879,0.74739,1.07327,0.99719,1,0.995,0.77534,0.78142,0.54158,0.97621,0.0015545,0.0015545,0.0015545
20,57.4348,0.8967,0.72833,1.03181,0.99729,1,0.995,0.73874,0.88417,0.66066,0.97387,0.00152975,0.00152975,0.00152975
21,59.855,0.86376,0.6873,1.01244,0.99731,1,0.995,0.79343,0.84196,0.60343,0.96159,0.001505,0.001505,0.001505
22,62.0541,0.89074,0.69204,1.00107,0.99705,1,0.995,0.79531,0.84012,0.60033,0.98159,0.00148025,0.00148025,0.00148025
23,65.149,0.88816,0.69423,1.0057,0.99702,1,0.995,0.77623,0.91582,0.61307,1.03789,0.0014555,0.0014555,0.0014555
24,67.7081,0.91866,0.68618,1.02641,0.99701,1,0.995,0.7705,0.91936,0.58471,1.02367,0.00143075,0.00143075,0.00143075
25,70.4231,0.83674,0.66901,1.00173,0.99713,1,0.995,0.83329,0.78722,0.5262,0.95581,0.001406,0.001406,0.001406
26,73.2895,0.91269,0.66815,1.01117,0.9972,1,0.995,0.84039,0.73597,0.51598,0.95351,0.00138125,0.00138125,0.00138125
27,76.6405,0.835,0.63128,0.99218,0.9971,1,0.995,0.784,0.81892,0.5355,0.95906,0.0013565,0.0013565,0.0013565
28,79.4595,0.91896,0.65178,1.00451,0.99717,1,0.995,0.77842,0.86372,0.56216,0.99155,0.00133175,0.00133175,0.00133175
29,81.7805,0.84552,0.63449,1.00835,0.99717,1,0.995,0.78857,0.79226,0.56526,0.96842,0.001307,0.001307,0.001307
30,84.0357,0.83598,0.6367,0.98974,0.99715,1,0.995,0.85473,0.74595,0.50711,0.93038,0.00128225,0.00128225,0.00128225
31,86.331,0.83959,0.60845,0.99428,0.99713,1,0.995,0.8781,0.62778,0.51954,0.92347,0.0012575,0.0012575,0.0012575
32,89.0156,0.81049,0.60386,0.98323,0.9972,1,0.995,0.84607,0.62819,0.50713,0.91184,0.00123275,0.00123275,0.00123275
33,91.805,0.81594,0.63702,1.01132,0.99719,1,0.995,0.76991,0.90294,0.52916,0.97295,0.001208,0.001208,0.001208
34,94.1419,0.8523,0.62589,0.98669,0.99709,1,0.995,0.76915,0.89647,0.48448,0.98201,0.00118325,0.00118325,0.00118325
35,97.1193,0.81404,0.60746,0.99503,0.99708,1,0.995,0.80786,0.80427,0.50265,0.96694,0.0011585,0.0011585,0.0011585
36,99.802,0.79142,0.60577,0.9878,0.99711,1,0.995,0.84443,0.65503,0.49339,0.93504,0.00113375,0.00113375,0.00113375
37,102.597,0.83006,0.60791,1.01216,0.99719,1,0.995,0.86728,0.58157,0.48595,0.90754,0.001109,0.001109,0.001109
38,105.344,0.78219,0.57418,0.96322,0.99725,1,0.995,0.84777,0.63166,0.48224,0.90469,0.00108425,0.00108425,0.00108425
39,108.012,0.82264,0.5961,0.96454,0.99727,1,0.995,0.83895,0.74014,0.48847,0.91807,0.0010595,0.0010595,0.0010595
40,111.431,0.79122,0.60315,0.97243,0.99727,1,0.995,0.8453,0.73567,0.47356,0.92516,0.00103475,0.00103475,0.00103475
41,114.568,0.72479,0.55594,0.95963,0.99721,1,0.995,0.83543,0.74767,0.44006,0.92749,0.00101,0.00101,0.00101
42,117.752,0.76039,0.5722,0.97936,0.99731,1,0.995,0.83243,0.83415,0.47474,0.9273,0.00098525,0.00098525,0.00098525
43,121.312,0.7642,0.56777,0.98287,0.99753,1,0.995,0.78757,0.90096,0.52377,0.93292,0.0009605,0.0009605,0.0009605
44,124.667,0.73901,0.56107,0.96343,0.99727,1,0.995,0.74021,1.00677,0.5098,0.95784,0.00093575,0.00093575,0.00093575
45,127.426,0.71184,0.5396,0.96032,0.99727,1,0.995,0.75766,0.94195,0.49133,0.94384,0.000911,0.000911,0.000911
46,130.06,0.68984,0.54426,0.93454,0.99715,1,0.995,0.85164,0.70808,0.47251,0.90937,0.00088625,0.00088625,0.00088625
47,132.795,0.72406,0.55181,0.9703,0.99712,1,0.995,0.88364,0.57199,0.43274,0.89127,0.0008615,0.0008615,0.0008615
48,135.524,0.75141,0.54762,0.95251,0.99711,1,0.995,0.8859,0.57092,0.4153,0.87985,0.00083675,0.00083675,0.00083675
49,138.714,0.69554,0.52956,0.94035,0.99702,1,0.995,0.77186,0.82849,0.46919,0.91425,0.000812,0.000812,0.000812
50,141.194,0.71997,0.53861,0.95736,0.99713,1,0.995,0.78225,0.82084,0.47549,0.91377,0.00078725,0.00078725,0.00078725
51,143.558,0.709,0.54203,0.93817,0.99719,1,0.995,0.813,0.69732,0.44913,0.89377,0.0007625,0.0007625,0.0007625
52,145.985,0.72683,0.52395,0.95407,0.99725,1,0.995,0.84738,0.61098,0.41495,0.89097,0.00073775,0.00073775,0.00073775
53,148.464,0.66944,0.52187,0.96005,0.9973,1,0.995,0.81801,0.66996,0.44767,0.90449,0.000713,0.000713,0.000713
54,150.846,0.69691,0.54812,0.96009,0.99736,1,0.995,0.78703,0.76519,0.44839,0.91264,0.00068825,0.00068825,0.00068825
55,153.403,0.6971,0.53169,0.95627,0.99727,1,0.995,0.77741,0.81977,0.4172,0.92132,0.0006635,0.0006635,0.0006635
56,156.091,0.70952,0.53697,0.95207,0.9974,1,0.995,0.82224,0.76439,0.42533,0.91306,0.00063875,0.00063875,0.00063875
57,159.019,0.6555,0.50823,0.94179,0.99738,1,0.995,0.83498,0.69871,0.42027,0.90079,0.000614,0.000614,0.000614
58,161.406,0.67447,0.50903,0.94171,0.99731,1,0.995,0.86237,0.62239,0.41348,0.90404,0.00058925,0.00058925,0.00058925
59,163.903,0.6503,0.49539,0.94438,0.99728,1,0.995,0.87047,0.60128,0.41334,0.9078,0.0005645,0.0005645,0.0005645
60,166.808,0.62035,0.47849,0.91019,0.99733,1,0.995,0.86234,0.59388,0.39257,0.90704,0.00053975,0.00053975,0.00053975
61,169.172,0.64921,0.4944,0.94892,0.99729,1,0.995,0.84434,0.63883,0.38911,0.90375,0.000515,0.000515,0.000515
62,171.607,0.62706,0.48537,0.94483,0.99733,1,0.995,0.83367,0.68298,0.41014,0.90255,0.00049025,0.00049025,0.00049025
63,174.402,0.68931,0.49585,0.93941,0.99728,1,0.995,0.81571,0.65104,0.41572,0.89834,0.0004655,0.0004655,0.0004655
64,177.171,0.65381,0.48525,0.94456,0.99733,1,0.995,0.83581,0.62528,0.41488,0.89876,0.00044075,0.00044075,0.00044075
65,179.752,0.67704,0.49245,0.94454,0.99735,1,0.995,0.83746,0.61219,0.41945,0.90574,0.000416,0.000416,0.000416
66,182.23,0.68643,0.48938,0.94581,0.99738,1,0.995,0.79256,0.66141,0.44406,0.91219,0.00039125,0.00039125,0.00039125
67,184.819,0.67098,0.50776,0.93896,0.99735,1,0.995,0.79407,0.68999,0.44452,0.91392,0.0003665,0.0003665,0.0003665
68,187.501,0.64787,0.48117,0.92371,0.99733,1,0.995,0.79032,0.69795,0.44266,0.91106,0.00034175,0.00034175,0.00034175
69,189.917,0.61823,0.47457,0.92369,0.99733,1,0.995,0.81781,0.66066,0.41858,0.90501,0.000317,0.000317,0.000317
70,192.327,0.65033,0.47801,0.92118,0.99728,1,0.995,0.84212,0.60578,0.38747,0.90088,0.00029225,0.00029225,0.00029225
71,194.717,0.58561,0.60479,0.89034,0.99729,1,0.995,0.85589,0.60382,0.37347,0.89945,0.0002675,0.0002675,0.0002675
72,197.171,0.56005,0.54758,0.8708,0.99721,1,0.995,0.83544,0.622,0.3726,0.89933,0.00024275,0.00024275,0.00024275
73,199.963,0.55149,0.50521,0.88207,0.99716,1,0.995,0.82379,0.72058,0.42329,0.91564,0.000218,0.000218,0.000218
74,202.623,0.58324,0.51432,0.89017,0.99702,1,0.995,0.81937,0.7392,0.43568,0.92244,0.00019325,0.00019325,0.00019325
75,204.998,0.54917,0.48237,0.8416,0.997,1,0.995,0.81175,0.72552,0.42822,0.92069,0.0001685,0.0001685,0.0001685
76,207.337,0.56441,0.51184,0.89454,0.99699,1,0.995,0.80439,0.69978,0.41116,0.91613,0.00014375,0.00014375,0.00014375
77,209.757,0.52847,0.5103,0.85461,0.99701,1,0.995,0.83662,0.66165,0.39765,0.91118,0.000119,0.000119,0.000119
78,212.012,0.54082,0.47819,0.86702,0.9971,1,0.995,0.8372,0.63765,0.38934,0.90839,9.425e-05,9.425e-05,9.425e-05
